"","Monthly.Temperature....Celsius.","Statistics","Country","ISO3","...5"
"375",11.475763," Mar Average"," Albanie"," ALB",2033
"376",13.697725," Apr Average"," Albanie"," ALB",2033
"377",17.133324," May Average"," Albanie"," ALB",2033
"378",21.894382," Jun Average"," Albanie"," ALB",2033
"379",26.168324," Jul Average"," Albanie"," ALB",2033
"380",26.712875," Aug Average"," Albanie"," ALB",2033
"381",21.517473," Sep Average"," Albanie"," ALB",2033
"382",16.036919," Oct Average"," Albanie"," ALB",2033
"383",12.243652," Nov Average"," Albanie"," ALB",2033
"384",10.83096," Dec Average"," Albanie"," ALB",2033
"385",12.392761," Jan Average"," Algérie"," DZA",2034
"386",14.654115," Feb Average"," Algérie"," DZA",2034
"387",19.348799," Mar Average"," Algérie"," DZA",2034
"388",23.366665," Apr Average"," Algérie"," DZA",2034
"389",26.3581," May Average"," Algérie"," DZA",2034
"390",30.882633," Jun Average"," Algérie"," DZA",2034
"391",34.15587," Jul Average"," Algérie"," DZA",2034
"392",33.53917," Aug Average"," Algérie"," DZA",2034
"393",29.753017," Sep Average"," Algérie"," DZA",2034
"394",23.62819," Oct Average"," Algérie"," DZA",2034
"395",17.637234," Nov Average"," Algérie"," DZA",2034
"396",13.380995," Dec Average"," Algérie"," DZA",2034
"397",13.189892," Jan Average"," Algérie"," DZA",2035
"398",15.790118," Feb Average"," Algérie"," DZA",2035
"399",20.256973," Mar Average"," Algérie"," DZA",2035
"400",24.848372," Apr Average"," Algérie"," DZA",2035
"401",29.159292," May Average"," Algérie"," DZA",2035
"402",33.265747," Jun Average"," Algérie"," DZA",2035
"403",35.461403," Jul Average"," Algérie"," DZA",2035
"404",34.271328," Aug Average"," Algérie"," DZA",2035
"405",30.22188," Sep Average"," Algérie"," DZA",2035
"406",24.976711," Oct Average"," Algérie"," DZA",2035
"407",18.634144," Nov Average"," Algérie"," DZA",2035
"408",14.027121," Dec Average"," Algérie"," DZA",2035
"409",11.535666," Jan Average"," Algérie"," DZA",2036
"410",13.981422," Feb Average"," Algérie"," DZA",2036
"411",18.40264," Mar Average"," Algérie"," DZA",2036
"412",23.383457," Apr Average"," Algérie"," DZA",2036
"413",27.615242," May Average"," Algérie"," DZA",2036
"414",31.889053," Jun Average"," Algérie"," DZA",2036
"415",34.42571," Jul Average"," Algérie"," DZA",2036
"416",33.795902," Aug Average"," Algérie"," DZA",2036
"417",29.516766," Sep Average"," Algérie"," DZA",2036
"418",24.034418," Oct Average"," Algérie"," DZA",2036
"419",17.44342," Nov Average"," Algérie"," DZA",2036
"420",12.595381," Dec Average"," Algérie"," DZA",2036
"421",12.08774," Jan Average"," Algérie"," DZA",2037
"422",14.233545," Feb Average"," Algérie"," DZA",2037
"423",19.409338," Mar Average"," Algérie"," DZA",2037
"424",23.910212," Apr Average"," Algérie"," DZA",2037
"425",28.753696," May Average"," Algérie"," DZA",2037
"426",33.131207," Jun Average"," Algérie"," DZA",2037
"427",35.813595," Jul Average"," Algérie"," DZA",2037
"428",34.38211," Aug Average"," Algérie"," DZA",2037
"429",30.436481," Sep Average"," Algérie"," DZA",2037
"430",25.328407," Oct Average"," Algérie"," DZA",2037
"431",18.395409," Nov Average"," Algérie"," DZA",2037
"432",12.862274," Dec Average"," Algérie"," DZA",2037
"433",13.344461," Jan Average"," Algérie"," DZA",2038
"434",15.952454," Feb Average"," Algérie"," DZA",2038
"435",19.965385," Mar Average"," Algérie"," DZA",2038
"436",23.647793," Apr Average"," Algérie"," DZA",2038
"437",28.699823," May Average"," Algérie"," DZA",2038
"438",32.946186," Jun Average"," Algérie"," DZA",2038
"439",35.42616," Jul Average"," Algérie"," DZA",2038
"440",34.902203," Aug Average"," Algérie"," DZA",2038
"441",30.52793," Sep Average"," Algérie"," DZA",2038
